medal_type,medal_code,medal_date,name,gender,discipline,event,event_type,url_event,code,country_code,country,country_long
Bronze Medal,3,2024-08-01,Ireland,M,Rowing,Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/men-s-double-sculls/fnl---------,ROWMSCULL2--IRL01,IRL,Ireland,Ireland
Gold Medal,1,2024-08-01,United States,M,Rowing,Men's Four,TEAM,/en/paris-2024/results/rowing/men-s-four/fnl---------,ROWMNOCOX4--USA01,USA,United States,United States of America
Silver Medal,2,2024-08-01,New Zealand,M,Rowing,Men's Four,TEAM,/en/paris-2024/results/rowing/men-s-four/fnl---------,ROWMNOCOX4--NZL01,NZL,New Zealand,New Zealand
Bronze Medal,3,2024-08-01,Great Britain,M,Rowing,Men's Four,TEAM,/en/paris-2024/results/rowing/men-s-four/fnl---------,ROWMNOCOX4--GBR01,GBR,Great Britain,Great Britain
Gold Medal,1,2024-08-01,New Zealand,W,Rowing,Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/women-s-double-sculls/fnl---------,ROWWSCULL2--NZL01,NZL,New Zealand,New Zealand
Silver Medal,2,2024-08-01,Romania,W,Rowing,Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/women-s-double-sculls/fnl---------,ROWWSCULL2--ROU01,ROU,Romania,Romania
Bronze Medal,3,2024-08-01,Great Britain,W,Rowing,Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/women-s-double-sculls/fnl---------,ROWWSCULL2--GBR01,GBR,Great Britain,Great Britain
Gold Medal,1,2024-08-01,Netherlands,W,Rowing,Women's Four,TEAM,/en/paris-2024/results/rowing/women-s-four/fnl---------,ROWWNOCOX4--NED01,NED,Netherlands,Netherlands
Silver Medal,2,2024-08-01,Great Britain,W,Rowing,Women's Four,TEAM,/en/paris-2024/results/rowing/women-s-four/fnl---------,ROWWNOCOX4--GBR01,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-08-01,New Zealand,W,Rowing,Women's Four,TEAM,/en/paris-2024/results/rowing/women-s-four/fnl---------,ROWWNOCOX4--NZL01,NZL,New Zealand,New Zealand
Gold Medal,1,2024-08-01,LIU Yukun,M,Shooting,50m Rifle 3 Positions Men,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-men/fnl-000100--,1913922,CHN,China,People's Republic of China
Silver Medal,2,2024-08-01,Serhiy KULISH,M,Shooting,50m Rifle 3 Positions Men,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-men/fnl-000100--,1555976,UKR,Ukraine,Ukraine
Bronze Medal,3,2024-08-01,Swapnil KUSALE,M,Shooting,50m Rifle 3 Positions Men,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-men/fnl-000100--,1538084,IND,India,India
Gold Medal,1,2024-08-01,Hubert KOS,M,Swimming,Men's 200m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-200m-backstroke/fnl-000100--,1904977,HUN,Hungary,Hungary
Silver Medal,2,2024-08-01,Apostolos CHRISTOU,M,Swimming,Men's 200m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-200m-backstroke/fnl-000100--,1954557,GRE,Greece,Greece
Bronze Medal,3,2024-08-01,Roman MITYUKOV,M,Swimming,Men's 200m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-200m-backstroke/fnl-000100--,1977754,SUI,Switzerland,Switzerland
Gold Medal,1,2024-08-01,Kate DOUGLASS,W,Swimming,Women's 200m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-200m-breaststroke/fnl-000100--,1935895,USA,United States,United States of America
Silver Medal,2,2024-08-01,Tatjana SMITH,W,Swimming,Women's 200m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-200m-breaststroke/fnl-000100--,1962589,RSA,South Africa,South Africa
Bronze Medal,3,2024-08-01,Tes SCHOUTEN,W,Swimming,Women's 200m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-200m-breaststroke/fnl-000100--,1972525,NED,Netherlands,Netherlands
Gold Medal,1,2024-08-01,Summer McINTOSH,W,Swimming,Women's 200m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-200m-butterfly/fnl-000100--,1967140,CAN,Canada,Canada
Silver Medal,2,2024-08-01,Regan SMITH,W,Swimming,Women's 200m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-200m-butterfly/fnl-000100--,1935984,USA,United States,United States of America
Bronze Medal,3,2024-08-01,ZHANG Yufei,W,Swimming,Women's 200m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-200m-butterfly/fnl-000100--,1945125,CHN,China,People's Republic of China
Gold Medal,1,2024-08-01,Australia,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-200m-freestyle-relay/fnl-000100--,SWMW4X200MFRAUS01,AUS,Australia,Australia
Silver Medal,2,2024-08-01,United States,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-200m-freestyle-relay/fnl-000100--,SWMW4X200MFRUSA01,USA,United States,United States of America
Bronze Medal,3,2024-08-01,China,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-200m-freestyle-relay/fnl-000100--,SWMW4X200MFRCHN01,CHN,China,People's Republic of China
Gold Medal,1,2024-08-02,Korea,X,Archery,Mixed Team,HTEAM,/en/paris-2024/results/archery/mixed-team/fnl-000100--,ARCXTEAM2---KOR01,KOR,Korea,Republic of Korea
Silver Medal,2,2024-08-02,Germany,X,Archery,Mixed Team,HTEAM,/en/paris-2024/results/archery/mixed-team/fnl-000100--,ARCXTEAM2---GER01,GER,Germany,Germany
Bronze Medal,3,2024-08-02,United States,X,Archery,Mixed Team,HTEAM,/en/paris-2024/results/archery/mixed-team/fnl-000200--,ARCXTEAM2---USA01,USA,United States,United States of America
Gold Medal,1,2024-08-02,Joshua CHEPTEGEI,M,Athletics,"Men's 10,000m",ATH,/en/paris-2024/results/athletics/men-s-10-000m/fnl-000100--,1970827,UGA,Uganda,Uganda
Silver Medal,2,2024-08-02,Berihu AREGAWI,M,Athletics,"Men's 10,000m",ATH,/en/paris-2024/results/athletics/men-s-10-000m/fnl-000100--,1536998,ETH,Ethiopia,Ethiopia
Bronze Medal,3,2024-08-02,Grant FISHER,M,Athletics,"Men's 10,000m",ATH,/en/paris-2024/results/athletics/men-s-10-000m/fnl-000100--,1960959,USA,United States,United States of America
Gold Medal,1,2024-08-02,ZHENG/HUANG,X,Badminton,Mixed Doubles,HCOUP,/en/paris-2024/results/badminton/mixed-doubles/fnl-000100--,BDMXDOUBLES-CHN02,CHN,China,People's Republic of China
Silver Medal,2,2024-08-02,KIM/JEONG,X,Badminton,Mixed Doubles,HCOUP,/en/paris-2024/results/badminton/mixed-doubles/fnl-000100--,BDMXDOUBLES-KOR02,KOR,Korea,Republic of Korea
Bronze Medal,3,2024-08-02,WATANABE/HIGASHINO,X,Badminton,Mixed Doubles,HCOUP,/en/paris-2024/results/badminton/mixed-doubles/fnl-000200--,BDMXDOUBLES-JPN01,JPN,Japan,Japan
Gold Medal,1,2024-08-02,Joris DAUDET,M,Cycling BMX Racing,Men,ATH,/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--,1895661,FRA,France,France
Silver Medal,2,2024-08-02,Sylvain ANDRE,M,Cycling BMX Racing,Men,ATH,/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--,1895640,FRA,France,France
Bronze Medal,3,2024-08-02,Romain MAHIEU,M,Cycling BMX Racing,Men,ATH,/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--,1895700,FRA,France,France
Gold Medal,1,2024-08-02,Saya SAKAKIBARA,W,Cycling BMX Racing,Women,ATH,/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--,1940127,AUS,Australia,Australia
Silver Medal,2,2024-08-02,Manon VEENSTRA,W,Cycling BMX Racing,Women,ATH,/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--,1969181,NED,Netherlands,Netherlands
Bronze Medal,3,2024-08-02,Zoe CLAESSENS,W,Cycling BMX Racing,Women,ATH,/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--,1976480,SUI,Switzerland,Switzerland
Gold Medal,1,2024-08-02,China,M,Diving,Men's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--,DIVM3MTEAM2-CHN01,CHN,China,People's Republic of China
Silver Medal,2,2024-08-02,Mexico,M,Diving,Men's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--,DIVM3MTEAM2-MEX01,MEX,Mexico,Mexico
Bronze Medal,3,2024-08-02,Great Britain,M,Diving,Men's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--,DIVM3MTEAM2-GBR01,GBR,Great Britain,Great Britain
Gold Medal,1,2024-08-02,Great Britain,O,Equestrian,Jumping Team,TEAM,/en/paris-2024/results/equestrian/jumping-team/fnl-000100--,EQUOJUMPTEAMGBR01,GBR,Great Britain,Great Britain
Silver Medal,2,2024-08-02,United States,O,Equestrian,Jumping Team,TEAM,/en/paris-2024/results/equestrian/jumping-team/fnl-000100--,EQUOJUMPTEAMUSA01,USA,United States,United States of America
Bronze Medal,3,2024-08-02,France,O,Equestrian,Jumping Team,TEAM,/en/paris-2024/results/equestrian/jumping-team/fnl-000100--,EQUOJUMPTEAMFRA01,FRA,France,France
Gold Medal,1,2024-08-02,Hungary,M,Fencing,Men's Épée Team,HTEAM,/en/paris-2024/results/fencing/men-s-epee-team/fnl-000100--,FENMTEAMEPEEHUN01,HUN,Hungary,Hungary
Silver Medal,2,2024-08-02,Japan,M,Fencing,Men's Épée Team,HTEAM,/en/paris-2024/results/fencing/men-s-epee-team/fnl-000100--,FENMTEAMEPEEJPN01,JPN,Japan,Japan
Bronze Medal,3,2024-08-02,Czechia,M,Fencing,Men's Épée Team,HTEAM,/en/paris-2024/results/fencing/men-s-epee-team/fnl-000200--,FENMTEAMEPEECZE01,CZE,Czechia,Czechia
Gold Medal,1,2024-08-02,Teddy RINER,M,Judo,Men +100 kg,HATH,/en/paris-2024/results/judo/men--plus-100-kg/fnl-000100--,1891323,FRA,France,France
Silver Medal,2,2024-08-02,KIM Minjong,M,Judo,Men +100 kg,HATH,/en/paris-2024/results/judo/men--plus-100-kg/fnl-000100--,1928072,KOR,Korea,Republic of Korea
Bronze Medal,3,2024-08-02,Temur RAKHIMOV,M,Judo,Men +100 kg,HATH,/en/paris-2024/results/judo/men--plus-100-kg/repf000100--,1567512,TJK,Tajikistan,Tajikistan
Bronze Medal,3,2024-08-02,Alisher YUSUPOV,M,Judo,Men +100 kg,HATH,/en/paris-2024/results/judo/men--plus-100-kg/repf000200--,1566931,UZB,Uzbekistan,Uzbekistan
Gold Medal,1,2024-08-02,Beatriz SOUZA,W,Judo,Women +78 kg,HATH,/en/paris-2024/results/judo/women--plus-78-kg/fnl-000100--,1953777,BRA,Brazil,Brazil
Silver Medal,2,2024-08-02,Raz HERSHKO,W,Judo,Women +78 kg,HATH,/en/paris-2024/results/judo/women--plus-78-kg/fnl-000100--,1892796,ISR,Israel,Israel
Bronze Medal,3,2024-08-02,KIM Hayun,W,Judo,Women +78 kg,HATH,/en/paris-2024/results/judo/women--plus-78-kg/repf000100--,1928070,KOR,Korea,Republic of Korea
Bronze Medal,3,2024-08-02,Romane DICKO,W,Judo,Women +78 kg,HATH,/en/paris-2024/results/judo/women--plus-78-kg/repf000200--,1891300,FRA,France,France
Gold Medal,1,2024-08-02,Ireland,M,Rowing,Lightweight Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------,ROWMSCULL2-LIRL01,IRL,Ireland,Ireland
Silver Medal,2,2024-08-02,Italy,M,Rowing,Lightweight Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------,ROWMSCULL2-LITA01,ITA,Italy,Italy
Bronze Medal,3,2024-08-02,Greece,M,Rowing,Lightweight Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------,ROWMSCULL2-LGRE01,GRE,Greece,Greece
Gold Medal,1,2024-08-02,Great Britain,W,Rowing,Lightweight Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------,ROWWSCULL2-LGBR01,GBR,Great Britain,Great Britain
Silver Medal,2,2024-08-02,Romania,W,Rowing,Lightweight Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------,ROWWSCULL2-LROU01,ROU,Romania,Romania
Bronze Medal,3,2024-08-02,Greece,W,Rowing,Lightweight Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------,ROWWSCULL2-LGRE01,GRE,Greece,Greece
Gold Medal,1,2024-08-02,Croatia,M,Rowing,Men's Pair,TEAM,/en/paris-2024/results/rowing/men-s-pair/fnl---------,ROWMNOCOX2--CRO01,CRO,Croatia,Croatia
Silver Medal,2,2024-08-02,Great Britain,M,Rowing,Men's Pair,TEAM,/en/paris-2024/results/rowing/men-s-pair/fnl---------,ROWMNOCOX2--GBR01,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-08-02,Switzerland,M,Rowing,Men's Pair,TEAM,/en/paris-2024/results/rowing/men-s-pair/fnl---------,ROWMNOCOX2--SUI01,SUI,Switzerland,Switzerland
Gold Medal,1,2024-08-02,Netherlands,W,Rowing,Women's Pair,TEAM,/en/paris-2024/results/rowing/women-s-pair/fnl---------,ROWWNOCOX2--NED01,NED,Netherlands,Netherlands
Silver Medal,2,2024-08-02,Romania,W,Rowing,Women's Pair,TEAM,/en/paris-2024/results/rowing/women-s-pair/fnl---------,ROWWNOCOX2--ROU01,ROU,Romania,Romania
Bronze Medal,3,2024-08-02,Australia,W,Rowing,Women's Pair,TEAM,/en/paris-2024/results/rowing/women-s-pair/fnl---------,ROWWNOCOX2--AUS01,AUS,Australia,Australia
Gold Medal,1,2024-08-02,BOTIN/TRITTEL,M,Sailing,Men's Skiff,TEAM,/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--,SALM49ER----ESP01,ESP,Spain,Spain
Silver Medal,2,2024-08-02,McHARDIE/McKENZIE,M,Sailing,Men's Skiff,TEAM,/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--,SALM49ER----NZL01,NZL,New Zealand,New Zealand
Bronze Medal,3,2024-08-02,BARROWS/HENKEN,M,Sailing,Men's Skiff,TEAM,/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--,SALM49ER----USA01,USA,United States,United States of America
Gold Medal,1,2024-08-02,AANHOLT/DUETZ,W,Sailing,Women's Skiff,TEAM,/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--,SALW49ERFX--NED01,NED,Netherlands,Netherlands
Silver Medal,2,2024-08-02,BOBECK/NETZLER,W,Sailing,Women's Skiff,TEAM,/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--,SALW49ERFX--SWE01,SWE,Sweden,Sweden
Bronze Medal,3,2024-08-02,STEYAERT/PICON,W,Sailing,Women's Skiff,TEAM,/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--,SALW49ERFX--FRA01,FRA,France,France
Gold Medal,1,2024-08-02,Chiara LEONE,W,Shooting,50m Rifle 3 Positions Women,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--,1977709,SUI,Switzerland,Switzerland
Silver Medal,2,2024-08-02,Sagen MADDALENA,W,Shooting,50m Rifle 3 Positions Women,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--,1944373,USA,United States,United States of America
Bronze Medal,3,2024-08-02,ZHANG Qiongyue,W,Shooting,50m Rifle 3 Positions Women,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--,1913972,CHN,China,People's Republic of China
Gold Medal,1,2024-08-02,Leon MARCHAND,M,Swimming,Men's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--,1909294,FRA,France,France
Silver Medal,2,2024-08-02,Duncan SCOTT,M,Swimming,Men's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--,1903621,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-08-02,WANG Shun,M,Swimming,Men's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--,1945186,CHN,China,People's Republic of China
Gold Medal,1,2024-08-02,Cameron McEVOY,M,Swimming,Men's 50m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-50m-freestyle/fnl-000100--,1946161,AUS,Australia,Australia
Silver Medal,2,2024-08-02,Benjamin PROUD,M,Swimming,Men's 50m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-50m-freestyle/fnl-000100--,1903616,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-08-02,Florent MANAUDOU,M,Swimming,Men's 50m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-50m-freestyle/fnl-000100--,1909292,FRA,France,France
Gold Medal,1,2024-08-02,Kaylee McKEOWN,W,Swimming,Women's 200m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-200m-backstroke/fnl-000100--,1946198,AUS,Australia,Australia
Silver Medal,2,2024-08-02,Regan SMITH,W,Swimming,Women's 200m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-200m-backstroke/fnl-000100--,1935984,USA,United States,United States of America
Bronze Medal,3,2024-08-02,Kylie MASSE,W,Swimming,Women's 200m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-200m-backstroke/fnl-000100--,1967104,CAN,Canada,Canada
Gold Medal,1,2024-08-02,SINIAKOVA/MACHAC,X,Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/tennis/mixed-doubles/fnl-000100--,TENXDOUBLES-CZE01,CZE,Czechia,Czechia
Silver Medal,2,2024-08-02,WANG/ZHANG,X,Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/tennis/mixed-doubles/fnl-000100--,TENXDOUBLES-CHN01,CHN,China,People's Republic of China
Bronze Medal,3,2024-08-02,DABROWSKI/AUGER-ALIAS,X,Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/tennis/mixed-doubles/fnl-000200--,TENXDOUBLES-CAN01,CAN,Canada,Canada
Bronze Medal,3,2024-08-02,Iga SWIATEK,W,Tennis,Women's Singles,HATH,/en/paris-2024/results/tennis/women-s-singles/fnl-000200--,1931815,POL,Poland,Poland
Gold Medal,1,2024-08-02,Ivan LITVINOVICH,M,Trampoline Gymnastics,Men,ATH,/en/paris-2024/results/trampoline-gymnastics/men/fnl-000001--,1937347,AIN,AIN,AIN
Silver Medal,2,2024-08-02,WANG Zisai,M,Trampoline Gymnastics,Men,ATH,/en/paris-2024/results/trampoline-gymnastics/men/fnl-000001--,1918790,CHN,China,People's Republic of China
Bronze Medal,3,2024-08-02,YAN Langyu,M,Trampoline Gymnastics,Men,ATH,/en/paris-2024/results/trampoline-gymnastics/men/fnl-000001--,1918789,CHN,China,People's Republic of China
Gold Medal,1,2024-08-02,Bryony PAGE,W,Trampoline Gymnastics,Women,ATH,/en/paris-2024/results/trampoline-gymnastics/women/fnl-000001--,1904745,GBR,Great Britain,Great Britain
Silver Medal,2,2024-08-02,Viyaleta BARDZILOUSKAYA,W,Trampoline Gymnastics,Women,ATH,/en/paris-2024/results/trampoline-gymnastics/women/fnl-000001--,1938437,AIN,AIN,AIN
Bronze Medal,3,2024-08-02,Sophiane METHOT,W,Trampoline Gymnastics,Women,ATH,/en/paris-2024/results/trampoline-gymnastics/women/fnl-000001--,1973102,CAN,Canada,Canada
Gold Medal,1,2024-08-03,LIM Sihyeon,W,Archery,Women's Individual,HATH,/en/paris-2024/results/archery/women-s-individual/fnl-000100--,1902147,KOR,Korea,Republic of Korea
Silver Medal,2,2024-08-03,NAM Suhyeon,W,Archery,Women's Individual,HATH,/en/paris-2024/results/archery/women-s-individual/fnl-000100--,1902148,KOR,Korea,Republic of Korea
Bronze Medal,3,2024-08-03,Lisa BARBELIN,W,Archery,Women's Individual,HATH,/en/paris-2024/results/archery/women-s-individual/fnl-000200--,1541265,FRA,France,France
Gold Medal,1,2024-08-03,Carlos Edriel YULO,M,Artistic Gymnastics,Men's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-floor-exercise/fnl-000001--,1975874,PHI,Philippines,Philippines
Silver Medal,2,2024-08-03,Artem DOLGOPYAT,M,Artistic Gymnastics,Men's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-floor-exercise/fnl-000001--,1908195,ISR,Israel,Israel
Bronze Medal,3,2024-08-03,Jake JARMAN,M,Artistic Gymnastics,Men's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-floor-exercise/fnl-000001--,1904741,GBR,Great Britain,Great Britain
Gold Medal,1,2024-08-03,Rhys MC CLENAGHAN,M,Artistic Gymnastics,Men's Pommel Horse,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-pommel-horse/fnl-000001--,1539986,IRL,Ireland,Ireland
Silver Medal,2,2024-08-03,Nariman KURBANOV,M,Artistic Gymnastics,Men's Pommel Horse,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-pommel-horse/fnl-000001--,1931577,KAZ,Kazakhstan,Kazakhstan
Bronze Medal,3,2024-08-03,Stephen NEDOROSCIK,M,Artistic Gymnastics,Men's Pommel Horse,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-pommel-horse/fnl-000001--,1959865,USA,United States,United States of America
Gold Medal,1,2024-08-03,Simone BILES,W,Artistic Gymnastics,Women's Vault,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-vault/fnl-000001--,1959861,USA,United States,United States of America
Silver Medal,2,2024-08-03,Rebeca ANDRADE,W,Artistic Gymnastics,Women's Vault,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-vault/fnl-000001--,1953634,BRA,Brazil,Brazil
Bronze Medal,3,2024-08-03,Jade CAREY,W,Artistic Gymnastics,Women's Vault,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-vault/fnl-000001--,1959819,USA,United States,United States of America
Gold Medal,1,2024-08-03,Netherlands,X,Athletics,4 x 400m Relay Mixed,TEAM,/en/paris-2024/results/athletics/4-x-400m-relay-mixed/fnl-000100--,ATHX4X400M--NED01,NED,Netherlands,Netherlands
Silver Medal,2,2024-08-03,United States,X,Athletics,4 x 400m Relay Mixed,TEAM,/en/paris-2024/results/athletics/4-x-400m-relay-mixed/fnl-000100--,ATHX4X400M--USA01,USA,United States,United States of America
Bronze Medal,3,2024-08-03,Great Britain,X,Athletics,4 x 400m Relay Mixed,TEAM,/en/paris-2024/results/athletics/4-x-400m-relay-mixed/fnl-000100--,ATHX4X400M--GBR01,GBR,Great Britain,Great Britain
Gold Medal,1,2024-08-03,Markus ROOTH,M,Athletics,Men's Decathlon,ATH,/en/paris-2024/results/athletics/men-s-decathlon/1500--------,1878353,NOR,Norway,Norway
Silver Medal,2,2024-08-03,Leo NEUGEBAUER,M,Athletics,Men's Decathlon,ATH,/en/paris-2024/results/athletics/men-s-decathlon/1500--------,1920180,GER,Germany,Germany
Bronze Medal,3,2024-08-03,Lindon VICTOR,M,Athletics,Men's Decathlon,ATH,/en/paris-2024/results/athletics/men-s-decathlon/1500--------,1573388,GRN,Grenada,Grenada
Gold Medal,1,2024-08-03,Ryan CROUSER,M,Athletics,Men's Shot Put,ATH,/en/paris-2024/results/athletics/men-s-shot-put/fnl-000100--,1960688,USA,United States,United States of America
Silver Medal,2,2024-08-03,Joe KOVACS,M,Athletics,Men's Shot Put,ATH,/en/paris-2024/results/athletics/men-s-shot-put/fnl-000100--,1965246,USA,United States,United States of America
Bronze Medal,3,2024-08-03,Rajindra CAMPBELL,M,Athletics,Men's Shot Put,ATH,/en/paris-2024/results/athletics/men-s-shot-put/fnl-000100--,1564189,JAM,Jamaica,Jamaica
Gold Medal,1,2024-08-03,Julien ALFRED,W,Athletics,Women's 100m,ATH,/en/paris-2024/results/athletics/women-s-100m/fnl-000100--,1537325,LCA,Saint Lucia,Saint Lucia
Silver Medal,2,2024-08-03,Sha'carri RICHARDSON,W,Athletics,Women's 100m,ATH,/en/paris-2024/results/athletics/women-s-100m/fnl-000100--,1960181,USA,United States,United States of America
Bronze Medal,3,2024-08-03,Melissa JEFFERSON,W,Athletics,Women's 100m,ATH,/en/paris-2024/results/athletics/women-s-100m/fnl-000100--,1961011,USA,United States,United States of America
Gold Medal,1,2024-08-03,Thea LAFOND,W,Athletics,Women's Triple Jump,ATH,/en/paris-2024/results/athletics/women-s-triple-jump/fnl-000100--,1908333,DMA,Dominica,Dominica
Silver Medal,2,2024-08-03,Shanieka RICKETTS,W,Athletics,Women's Triple Jump,ATH,/en/paris-2024/results/athletics/women-s-triple-jump/fnl-000100--,1536885,JAM,Jamaica,Jamaica
Bronze Medal,3,2024-08-03,Jasmine MOORE,W,Athletics,Women's Triple Jump,ATH,/en/paris-2024/results/athletics/women-s-triple-jump/fnl-000100--,1965250,USA,United States,United States of America
Gold Medal,1,2024-08-03,CHEN/JIA,W,Badminton,Women's Doubles,HCOUP,/en/paris-2024/results/badminton/women-s-doubles/fnl-000100--,BDMWDOUBLES-CHN02,CHN,China,People's Republic of China
Silver Medal,2,2024-08-03,LIU/TAN,W,Badminton,Women's Doubles,HCOUP,/en/paris-2024/results/badminton/women-s-doubles/fnl-000100--,BDMWDOUBLES-CHN01,CHN,China,People's Republic of China
Bronze Medal,3,2024-08-03,MATSUYAMA/SHIDA,W,Badminton,Women's Doubles,HCOUP,/en/paris-2024/results/badminton/women-s-doubles/fnl-000200--,BDMWDOUBLES-JPN01,JPN,Japan,Japan
Bronze Medal,3,2024-08-03,WU Shih Yi,W,Boxing,Women's 60kg,HATH,/en/paris-2024/results/boxing/women-s-60kg/sfnl000100--,1887970,TPE,Chinese Taipei,Chinese Taipei
Bronze Medal,3,2024-08-03,Beatriz Iasmin SOARES FERREIRA,W,Boxing,Women's 60kg,HATH,/en/paris-2024/results/boxing/women-s-60kg/sfnl000200--,1952540,BRA,Brazil,Brazil
Gold Medal,1,2024-08-03,Remco EVENEPOEL,M,Cycling Road,Men's Road Race,ATH,/en/paris-2024/results/cycling-road/men-s-road-race/fnl-000100--,1903136,BEL,Belgium,Belgium
Silver Medal,2,2024-08-03,Valentin MADOUAS,M,Cycling Road,Men's Road Race,ATH,/en/paris-2024/results/cycling-road/men-s-road-race/fnl-000100--,1895699,FRA,France,France
Bronze Medal,3,2024-08-03,Christophe LAPORTE,M,Cycling Road,Men's Road Race,ATH,/en/paris-2024/results/cycling-road/men-s-road-race/fnl-000100--,1895694,FRA,France,France
Gold Medal,1,2024-08-03,Germany,O,Equestrian,Dressage Team,TEAM,/en/paris-2024/results/equestrian/dressage-team/gpsp000100--,EQUODRESTEAMGER01,GER,Germany,Germany
Silver Medal,2,2024-08-03,Denmark,O,Equestrian,Dressage Team,TEAM,/en/paris-2024/results/equestrian/dressage-team/gpsp000100--,EQUODRESTEAMDEN01,DEN,Denmark,Denmark
Bronze Medal,3,2024-08-03,Great Britain,O,Equestrian,Dressage Team,TEAM,/en/paris-2024/results/equestrian/dressage-team/gpsp000100--,EQUODRESTEAMGBR01,GBR,Great Britain,Great Britain
Gold Medal,1,2024-08-03,Ukraine,W,Fencing,Women's Sabre Team,HTEAM,/en/paris-2024/results/fencing/women-s-sabre-team/fnl-000100--,FENWTEAMSABRUKR01,UKR,Ukraine,Ukraine
